ItemType	Code	Equiv1	Equiv2	*skillID	*CTC	Repair	Body	BodyLoc1	BodyLoc2	Shoots	Quiver	Throwable	Reload	ReEquip	AutoStack	Magic	Rare	Normal	Beltable	MaxSockets1	MaxSocketsLevelThreshold1	MaxSockets2	MaxSocketsLevelThreshold2	MaxSockets3	TreasureClass	Rarity	StaffMods	Class	VarInvGfx	InvGfx1	InvGfx2	InvGfx3	InvGfx4	InvGfx5	InvGfx6	StorePage	*eol	UICategory	RunewordCategory1	RunewordCategory2	Restricted
E175	E175			9196	id 145 lev9	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E176	E176			9197	id 145 lev10	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E177	E177			9198	id 145 lev11	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E178	E178			9199	id 145 lev12	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E179	E179			9200	id 145 lev13	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E180	E180			9201	id 145 lev14	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E181	E181			9202	id 145 lev15	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E182	E182			9203	id 145 lev16	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E183	E183			9204	id 145 lev17	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E184	E184			9205	id 145 lev18	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E185	E185			9206	id 145 lev19	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E186	E186			9207	id 145 lev20	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E187	E187			9208	id 145 lev21	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E188	E188			9209	id 145 lev22	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E189	E189			9210	id 145 lev23	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E190	E190			9211	id 145 lev24	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E191	E191			9212	id 145 lev25	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E192	E192			9213	id 145 lev26	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E193	E193			9214	id 145 lev27	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E194	E194			9215	id 145 lev28	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E195	E195			9216	id 145 lev29	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E196	E196			9217	id 145 lev30	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E197	E197			9218	id 145 lev31	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E198	E198			9219	id 145 lev32	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E199	E199			9220	id 145 lev33	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E200	E200			9221	id 145 lev34	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E201	E201			9222	id 145 lev35	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E202	E202			9223	id 145 lev36	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E203	E203			9224	id 145 lev37	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E204	E204			9225	id 145 lev38	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E205	E205			9226	id 145 lev39	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E206	E206			9227	id 145 lev40	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E207	E207			9228	id 145 lev41	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E208	E208			9229	id 145 lev42	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E209	E209			9230	id 145 lev43	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E210	E210			9231	id 145 lev44	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E211	E211			9232	id 145 lev45	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E212	E212			9233	id 145 lev46	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E213	E213			9234	id 145 lev47	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E214	E214			9235	id 145 lev48	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E215	E215			9236	id 145 lev49	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E216	E216			9237	id 145 lev50	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E217	E217			9238	id 145 lev51	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E218	E218			9239	id 145 lev52	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E219	E219			9240	id 145 lev53	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E220	E220			9241	id 145 lev54	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E221	E221			9242	id 145 lev55	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E222	E222			9243	id 145 lev56	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E223	E223			9244	id 145 lev57	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E224	E224			9245	id 145 lev58	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E225	E225			9246	id 145 lev59	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E226	E226			9247	id 145 lev60	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E227	E227			9248	id 145 lev61	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E228	E228			9249	id 145 lev62	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E229	E229			9250	id 145 lev63	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E230	E230			9251	id 146 lev0	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E231	E231			9252	id 146 lev1	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E232	E232			9253	id 146 lev2	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E233	E233			9254	id 146 lev3	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E234	E234			9255	id 146 lev4	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E235	E235			9256	id 146 lev5	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E236	E236			9257	id 146 lev6	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E237	E237			9258	id 146 lev7	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E238	E238			9259	id 146 lev8	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E239	E239			9260	id 146 lev9	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E240	E240			9261	id 146 lev10	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E241	E241			9262	id 146 lev11	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E242	E242			9263	id 146 lev12	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E243	E243			9264	id 146 lev13	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E244	E244			9265	id 146 lev14	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E245	E245			9266	id 146 lev15	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E246	E246			9267	id 146 lev16	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E247	E247			9268	id 146 lev17	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E248	E248			9269	id 146 lev18	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E249	E249			9270	id 146 lev19	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E250	E250			9271	id 146 lev20	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E251	E251			9272	id 146 lev21	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E252	E252			9273	id 146 lev22	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E253	E253			9274	id 146 lev23	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E254	E254			9275	id 146 lev24	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E255	E255			9276	id 146 lev25	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E256	E256			9277	id 146 lev26	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E257	E257			9278	id 146 lev27	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E258	E258			9279	id 146 lev28	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E259	E259			9280	id 146 lev29	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E260	E260			9281	id 146 lev30	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E261	E261			9282	id 146 lev31	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E262	E262			9283	id 146 lev32	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E263	E263			9284	id 146 lev33	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E264	E264			9285	id 146 lev34	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E265	E265			9286	id 146 lev35	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E266	E266			9287	id 146 lev36	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E267	E267			9288	id 146 lev37	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E268	E268			9289	id 146 lev38	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E269	E269			9290	id 146 lev39	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E270	E270			9291	id 146 lev40	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E271	E271			9292	id 146 lev41	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E272	E272			9293	id 146 lev42	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E273	E273			9294	id 146 lev43	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E274	E274			9295	id 146 lev44	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E275	E275			9296	id 146 lev45	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E276	E276			9297	id 146 lev46	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E277	E277			9298	id 146 lev47	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E278	E278			9299	id 146 lev48	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E279	E279			9300	id 146 lev49	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E280	E280			9301	id 146 lev50	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E281	E281			9302	id 146 lev51	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E282	E282			9303	id 146 lev52	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E283	E283			9304	id 146 lev53	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E284	E284			9305	id 146 lev54	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E285	E285			9306	id 146 lev55	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E286	E286			9307	id 146 lev56	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E287	E287			9308	id 146 lev57	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E288	E288			9309	id 146 lev58	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E289	E289			9310	id 146 lev59	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E290	E290			9311	id 146 lev60	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E291	E291			9312	id 146 lev61	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E292	E292			9313	id 146 lev62	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E293	E293			9314	id 146 lev63	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E294	E294			9315	id 147 lev0	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E295	E295			9316	id 147 lev1	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E296	E296			9317	id 147 lev2	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E297	E297			9318	id 147 lev3	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E298	E298			9319	id 147 lev4	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E299	E299			9320	id 147 lev5	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E300	E300			9321	id 147 lev6	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E301	E301			9322	id 147 lev7	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E302	E302			9323	id 147 lev8	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E303	E303			9324	id 147 lev9	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E304	E304			9325	id 147 lev10	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E305	E305			9326	id 147 lev11	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E306	E306			9327	id 147 lev12	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E307	E307			9328	id 147 lev13	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E308	E308			9329	id 147 lev14	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E309	E309			9330	id 147 lev15	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E310	E310			9331	id 147 lev16	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E311	E311			9332	id 147 lev17	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E312	E312			9333	id 147 lev18	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E313	E313			9334	id 147 lev19	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E314	E314			9335	id 147 lev20	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E315	E315			9336	id 147 lev21	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E316	E316			9337	id 147 lev22	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E317	E317			9338	id 147 lev23	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E318	E318			9339	id 147 lev24	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E319	E319			9340	id 147 lev25	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E320	E320			9341	id 147 lev26	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E321	E321			9342	id 147 lev27	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E322	E322			9343	id 147 lev28	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E323	E323			9344	id 147 lev29	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E324	E324			9345	id 147 lev30	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E325	E325			9346	id 147 lev31	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E326	E326			9347	id 147 lev32	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E327	E327			9348	id 147 lev33	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E328	E328			9349	id 147 lev34	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E329	E329			9350	id 147 lev35	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E330	E330			9351	id 147 lev36	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E331	E331			9352	id 147 lev37	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E332	E332			9353	id 147 lev38	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E333	E333			9354	id 147 lev39	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E334	E334			9355	id 147 lev40	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E335	E335			9356	id 147 lev41	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E336	E336			9357	id 147 lev42	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E337	E337			9358	id 147 lev43	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E338	E338			9359	id 147 lev44	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E339	E339			9360	id 147 lev45	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E340	E340			9361	id 147 lev46	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E341	E341			9362	id 147 lev47	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E342	E342			9363	id 147 lev48	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E343	E343			9364	id 147 lev49	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E344	E344			9365	id 147 lev50	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E345	E345			9366	id 147 lev51	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E346	E346			9367	id 147 lev52	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E347	E347			9368	id 147 lev53	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E348	E348			9369	id 147 lev54	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E349	E349			9370	id 147 lev55	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E350	E350			9371	id 147 lev56	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E351	E351			9372	id 147 lev57	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E352	E352			9373	id 147 lev58	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E353	E353			9374	id 147 lev59	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E354	E354			9375	id 147 lev60	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E355	E355			9376	id 147 lev61	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E356	E356			9377	id 147 lev62	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E357	E357			9378	id 147 lev63	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E358	E358			9379	id 148 lev0	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E359	E359			9380	id 148 lev1	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E360	E360			9381	id 148 lev2	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E361	E361			9382	id 148 lev3	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E362	E362			9383	id 148 lev4	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E363	E363			9384	id 148 lev5	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E364	E364			9385	id 148 lev6	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E365	E365			9386	id 148 lev7	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E366	E366			9387	id 148 lev8	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E367	E367			9388	id 148 lev9	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E368	E368			9389	id 148 lev10	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E369	E369			9390	id 148 lev11	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E370	E370			9391	id 148 lev12	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E371	E371			9392	id 148 lev13	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E372	E372			9393	id 148 lev14	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E373	E373			9394	id 148 lev15	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E374	E374			9395	id 148 lev16	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E375	E375			9396	id 148 lev17	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E376	E376			9397	id 148 lev18	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E377	E377			9398	id 148 lev19	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E378	E378			9399	id 148 lev20	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E379	E379			9400	id 148 lev21	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E380	E380			9401	id 148 lev22	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E381	E381			9402	id 148 lev23	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E382	E382			9403	id 148 lev24	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E383	E383			9404	id 148 lev25	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E384	E384			9405	id 148 lev26	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E385	E385			9406	id 148 lev27	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E386	E386			9407	id 148 lev28	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E387	E387			9408	id 148 lev29	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E388	E388			9409	id 148 lev30	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E389	E389			9410	id 148 lev31	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E390	E390			9411	id 148 lev32	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E391	E391			9412	id 148 lev33	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E392	E392			9413	id 148 lev34	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E393	E393			9414	id 148 lev35	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E394	E394			9415	id 148 lev36	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E395	E395			9416	id 148 lev37	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E396	E396			9417	id 148 lev38	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E397	E397			9418	id 148 lev39	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E398	E398			9419	id 148 lev40	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E399	E399			9420	id 148 lev41	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E400	E400			9421	id 148 lev42	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E401	E401			9422	id 148 lev43	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E402	E402			9423	id 148 lev44	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E403	E403			9424	id 148 lev45	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E404	E404			9425	id 148 lev46	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E405	E405			9426	id 148 lev47	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E406	E406			9427	id 148 lev48	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E407	E407			9428	id 148 lev49	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E408	E408			9429	id 148 lev50	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E409	E409			9430	id 148 lev51	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E410	E410			9431	id 148 lev52	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E411	E411			9432	id 148 lev53	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E412	E412			9433	id 148 lev54	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E413	E413			9434	id 148 lev55	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E414	E414			9435	id 148 lev56	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E415	E415			9436	id 148 lev57	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E416	E416			9437	id 148 lev58	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E417	E417			9438	id 148 lev59	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E418	E418			9439	id 148 lev60	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E419	E419			9440	id 148 lev61	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E420	E420			9441	id 148 lev62	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E421	E421			9442	id 148 lev63	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E422	E422			9443	id 149 lev0	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
E423	E423			9444	id 149 lev1	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
